,DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
582,10.1007/s00894-010-0720-x,10.1007s00894-010-0720-x.Isotherm4.json,25,IRMOF-1,0.2836224845992735
583,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm1.json,0,Carbon,0.25791544983317943
584,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm10.json,30,Carbon,0.001262044212382453
585,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm11.json,30,Carbon,0.0007672121833819932
586,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm2.json,25,Carbon,0.10944234388511165
587,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm5.json,30,Carbon,0.005568373707882901
588,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm6.json,30,Carbon,0.00422867611010122
589,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm7.json,30,Carbon,0.003307999749824978
590,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm8.json,30,Carbon,0.0025919181362767905
591,10.1007/s10450-006-0138-z,10.1007s10450-006-0138-z.isotherm9.json,30,Carbon,0.0015340645466740313
615,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm1.json,25,COF-102,0.04357799360535626
616,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm2.json,25,MOF-177,0.031028698664027705
617,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm3.json,25,IRMOF-1,0.04554394197952218
618,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm4.json,25,CuBTC,0.10382554374301516
619,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm5.json,25,Zn2(BDC)2(TED),0.08630183839247542
620,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm6.json,25,MIL-47,0.13125509804774121
621,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm7.json,25,MOF-74,0.23356060970332262
622,10.1007/s10450-010-9305-3,10.1007s10450-010-9305-3.Isotherm8.json,25,ZIF-69,0.06146048568487668
